"","ID","Name","gamesPlayed","goalsScored","goalsPerGame","idx_raw"
"87",12839,"Matthew Owies",13,15,1.15384615384615,38.3846153846154
"88",12255,"Josh Kelly",23,16,0.695652173913043,38.304347826087
"89",12730,"Callum Coleman-Jones",8,11,1.375,38.25
"90",12122,"Jason Johannisen",25,15,0.6,38.2
"91",12367,"Alex Neal-Bullen",25,15,0.6,38.2
"92",11677,"Callan Ward",24,15,0.625,37.75
"93",11941,"Isaac Smith",24,15,0.625,37.75
"94",12518,"Hugh McCluggage",24,15,0.625,37.75
"95",12623,"Jack Petruccelle",17,16,0.941176470588235,37.7058823529412
"96",12029,"Devon Smith",20,16,0.8,37.6
"97",12798,"Izak Rankine",18,16,0.888888888888889,37.5555555555556
"98",11953,"Luke Parker",23,15,0.652173913043478,37.3478260869565
"99",11898,"Tom Liberatore",25,14,0.56,37.32
"100",4088,"David Mundy",22,15,0.681818181818182,37
"101",11821,"Travis Colyer",22,15,0.681818181818182,37
"102",12806,"Brad Close",22,15,0.681818181818182,37
"103",12850,"James Rowe",19,15,0.789473684210526,36.3684210526316
"104",12393,"Ed Langdon",24,13,0.541666666666667,35.9166666666667
"105",12504,"Tim Taranto",24,13,0.541666666666667,35.9166666666667
"106",11763,"Michael Walters",16,14,0.875,35.25
"107",12492,"Mitch Hannan",17,14,0.823529411764706,35.1176470588235
"108",12744,"Bobby Hill",17,14,0.823529411764706,35.1176470588235
"109",12249,"Jack Billings",18,14,0.777777777777778,35.1111111111111
"110",12862,"Errol Gulden",18,14,0.777777777777778,35.1111111111111
"111",12368,"Jack Steele",22,13,0.590909090909091,35
"112",12452,"Tom Phillips",22,13,0.590909090909091,35
"113",12410,"Clayton Oliver",25,11,0.44,34.68
"114",12464,"Sam Menegola",23,12,0.521739130434783,34.4782608695652
"115",12601,"Jake Waterman",14,13,0.928571428571429,34.4285714285714
"116",12026,"Will Hoskin-Elliott",20,13,0.65,34.3
"117",12261,"Patrick Cripps",20,13,0.65,34.3
"118",12758,"Zach Sproule",10,11,1.1,34.2
"119",12357,"Karl Amon",24,11,0.458333333333333,34.0833333333333
"120",12887,"Josh Treacy",15,13,0.866666666666667,34.0666666666667
"121",11818,"Steven Motlop",19,13,0.684210526315789,34.0526315789474
"122",11682,"Ben McEvoy",22,12,0.545454545454545,34
"123",11686,"Todd Goldstein",22,12,0.545454545454545,34
"124",12035,"Paul Seedsman",22,12,0.545454545454545,34
"125",12434,"Ben Keays",22,12,0.545454545454545,34
"126",12684,"Sam Walsh",22,12,0.545454545454545,34
"127",12054,"Adam Treloar",17,13,0.764705882352941,33.8235294117647
"128",12349,"Kyle Langford",17,13,0.764705882352941,33.8235294117647
"129",12729,"Peter Ladhams",17,13,0.764705882352941,33.8235294117647
"130",12203,"Lachie Hunter",25,10,0.4,33.8
"131",12547,"Sean Darcy",21,12,0.571428571428571,33.5714285714286
"132",12144,"Josh Thomas",20,12,0.6,33.2
"133",12217,"Brodie Grundy",20,12,0.6,33.2
"134",12484,"Will Snelling",20,12,0.6,33.2
"135",12067,"Jarryd Lyons",24,10,0.416666666666667,33.1666666666667
"136",12150,"Ollie Wines",24,10,0.416666666666667,33.1666666666667
"137",12576,"Jack Graham",22,11,0.5,33
"138",12242,"Tim OBrien",19,12,0.631578947368421,32.8947368421053
"139",12689,"Gryan Miers",15,12,0.8,32.6
"140",12406,"Darcy Parish",23,10,0.434782608695652,32.5652173913043
"141",12440,"Jacob Hopper",23,10,0.434782608695652,32.5652173913043
"142",12498,"Ben Ainsworth",17,12,0.705882352941177,32.5294117647059
"143",11973,"Zach Tuohy",21,11,0.523809523809524,32.5238095238095
"144",12775,"Ned McHenry",21,11,0.523809523809524,32.5238095238095
"145",12047,"Chad Wingard",16,12,0.75,32.5
"146",12745,"Hayden McLean",12,11,0.916666666666667,32.1666666666667
"147",11883,"Ed Curnow",22,10,0.454545454545455,32
"148",12813,"Harry Schoenberg",22,10,0.454545454545455,32
"149",12876,"Beau McCreery",13,11,0.846153846153846,31.6153846153846
