"Player","gamesPlayed","goalsScored","goalsPerGame"
"Tarryn Thomas",12,11,0.916666666666667
"Judson Clarke",12,11,0.916666666666667
"Jake Waterman",11,11,1
"Bailey Williams",23,11,0.478260869565217
"Jake Soligo",19,10,0.526315789473684
"Blake Acres",25,10,0.4
"Jack Crisp",26,10,0.384615384615385
"Will H-Elliott",23,10,0.434782608695652
"Sam Draper",14,10,0.714285714285714
"Isaac Smith",22,10,0.454545454545455
"Mabior Chol",8,10,1.25
"James Worpel",23,10,0.434782608695652
"Ben Brown",6,10,1.66666666666667
"Brodie Grundy",17,10,0.588235294117647
"Max Gawn",21,10,0.476190476190476
"Francis Evans",9,10,1.11111111111111
"Sam Wicks",11,10,0.909090909090909
"Jack Petruccelle",17,10,0.588235294117647
"Tim Kelly",22,10,0.454545454545455
"Caleb Daniel",23,10,0.434782608695652
