"Player","gamesPlayed","goalsScored","goalsPerGame"
"Tom Hawkins",25,67,2.68
"Jeremy Cameron",24,65,2.70833333333333
"Charlie Curnow",22,64,2.90909090909091
"Tom Lynch",19,63,3.31578947368421
"Bayley Fritsch",24,55,2.29166666666667
"Charlie Cameron",25,54,2.16
"Peter Wright",22,53,2.40909090909091
"Tyson Stengle",25,53,2.12
"Max King",22,52,2.36363636363636
"Lance Franklin",23,52,2.26086956521739
"Aaron Naughton",22,51,2.31818181818182
"Isaac Heeney",25,49,1.96
"Taylor Walker",18,47,2.61111111111111
"Harry McKay",19,45,2.36842105263158
"Todd Marshall",21,45,2.14285714285714
"Mabior Chol",22,44,2
"Shai Bolton",23,43,1.8695652173913
"Brody Mihocek",23,41,1.78260869565217
"Kysaiah Pickett",23,41,1.78260869565217
"Jack Ginnivan",23,40,1.73913043478261
"Luke Breust",21,40,1.9047619047619
"Jack Riewoldt",21,40,1.9047619047619
"Joe Daniher",19,39,2.05263157894737
"Nick Larkey",20,38,1.9
"Zac Bailey",24,37,1.54166666666667
"Toby Greene",15,37,2.46666666666667
"Mitchell Lewis",15,37,2.46666666666667
"Joshua Kennedy",15,37,2.46666666666667
"Rory Lobb",21,36,1.71428571428571
"Cody Weightman",21,36,1.71428571428571
"Lincoln McCarthy",25,35,1.4
"Levi Casboult",21,35,1.66666666666667
"Jesse Hogan",18,35,1.94444444444444
"Cameron Zurhaar",19,34,1.78947368421053
"Tim Membrey",22,34,1.54545454545455
"Will Hayward",25,34,1.36
"Jack Darling",21,34,1.61904761904762
"Darcy Fogarty",17,33,1.94117647058824
"Jack Gunston",16,32,2
"Tom Papley",19,32,1.68421052631579
"Lachlan Schultz",23,30,1.30434782608696
"Ben Brown",19,30,1.57894736842105
"Jack Higgins",18,30,1.66666666666667
"Izak Rankine",18,29,1.61111111111111
"Jamie Elliott",19,28,1.47368421052632
"Michael Frederick",21,27,1.28571428571429
"Bradley Close",25,26,1.04
"Dylan Moore",22,26,1.18181818181818
"Daniel McStay",22,25,1.13636363636364
