"Player","gamesPlayed","goalsScored","goalsPerGame"
"Eric Hipwood",17,25,1.47058823529412
"Jake Stringer",15,25,1.66666666666667
"Michael Walters",21,25,1.19047619047619
"Ben Ainsworth",22,25,1.13636363636364
"Cameron Rayner",24,24,1
"Sam P-Pepper",22,24,1.09090909090909
"Marcus Bontempelli",22,24,1.09090909090909
"Shane McAdam",15,23,1.53333333333333
"Matthew Taberner",13,23,1.76923076923077
"Mitch Georgiades",19,23,1.21052631578947
"Harrison Himmelberg",22,22,1
"Jamie Cripps",17,22,1.29411764705882
"Oliver Henry",13,21,1.61538461538462
"Jeremy Finlayson",20,21,1.05
"Hugh McCluggage",24,20,0.833333333333333
"Patrick Cripps",21,20,0.952380952380952
"Darcy Cameron",24,20,0.833333333333333
"Chad Warner",24,20,0.833333333333333
"Nicholas Martin",21,19,0.904761904761905
"Christian Petracca",24,19,0.791666666666667
"Noah Cumberland",8,19,2.375
"Daniel Butler",19,19,1
"Liam Ryan",17,19,1.11764705882353
"Zac Fisher",22,18,0.818181818181818
"Jordan De Goey",19,18,0.947368421052632
"Bailey Banfield",18,18,1
"Jacob Koschitzke",15,18,1.2
"Connor Rozee",22,18,0.818181818181818
"Errol Gulden",25,18,0.72
"Sam Reid",18,18,1
"Jake Waterman",19,18,0.947368421052632
"Jamarra U-Hagan",16,18,1.125
"Josh Dunkley",23,18,0.782608695652174
"Josh Rachele",13,17,1.30769230769231
"Jack Silvagni",21,17,0.80952380952381
"Matt Guelfi",20,17,0.85
"Stephen Coniglio",21,17,0.80952380952381
"Chad Wingard",10,17,1.7
"Jack Ziebell",19,17,0.894736842105263
"Archie Perkins",18,16,0.888888888888889
"Nicholas Holman",20,16,0.8
"Todd Goldstein",22,16,0.727272727272727
"Charlie Dixon",12,16,1.33333333333333
"Jade Gresham",18,16,0.888888888888889
"Corey Durdin",21,15,0.714285714285714
"Ash Johnson",9,15,1.66666666666667
"Josh Daicos",25,15,0.6
"Isaac Smith",24,15,0.625
"Jake Riccardi",14,15,1.07142857142857
"Tom McDonald",9,15,1.66666666666667
"Shane Edwards",22,15,0.681818181818182
"Logan McDonald",17,15,0.882352941176471
"Adam Treloar",22,15,0.681818181818182
"Elliott Himmelberg",11,14,1.27272727272727
"Matt Owies",17,14,0.823529411764706
"Beau McCreery",21,14,0.666666666666667
"Will H-Elliott",24,14,0.583333333333333
"Gary Rohan",12,14,1.16666666666667
"Malcolm Rosas",15,14,0.933333333333333
"Robbie Gray",16,14,0.875
"Maurice Rioli",15,14,0.933333333333333
"Luke Parker",25,14,0.56
"Willie Rioli",13,14,1.07692307692308
"Ned McHenry",20,13,0.65
"Harrison Jones",10,13,1.3
"Gryan Miers",22,13,0.590909090909091
"Max Holmes",18,13,0.722222222222222
"Ed Langdon",23,13,0.565217391304348
"Max Gawn",22,13,0.590909090909091
"Sam Weideman",10,13,1.3
"Noah Balta",18,13,0.722222222222222
"Mason Wood",19,13,0.684210526315789
"James Rowe",16,12,0.75
"Jack Martin",12,12,1
"Jesse Motlop",12,12,1
"Jack Crisp",25,12,0.48
"Steele Sidebottom",25,12,0.48
"Sam Draper",22,12,0.545454545454545
"Andrew Brayshaw",24,12,0.5
"Cameron Guthrie",25,12,0.48
"Jake Melksham",11,12,1.09090909090909
"James Harmes",19,12,0.631578947368421
"Paul Curtis",15,12,0.8
"Dustin Martin",9,12,1.33333333333333
"Jason Castagna",16,12,0.75
"Lachie Neale",25,11,0.44
"Sam Switkowski",14,11,0.785714285714286
"Noah Anderson",21,11,0.523809523809524
"Luke Jackson",22,11,0.5
"Kane Farrell",16,11,0.6875
"Liam Baker",23,11,0.478260869565217
"Patrick Ryder",12,11,0.916666666666667
"Hayden McLean",9,11,1.22222222222222
"Rhylee West",13,11,0.846153846153846
"Timothy English",16,11,0.6875
"Ben Keays",22,10,0.454545454545455
"Jordan Dawson",22,10,0.454545454545455
"Alec Waterman",8,10,1.25
"Kyle Langford",9,10,1.11111111111111
"Nathan O'Driscoll",12,10,0.833333333333333
"Sean Darcy",21,10,0.476190476190476
"Tom Green",21,10,0.476190476190476
"Charlie Spargo",24,10,0.416666666666667
"Steven Motlop",14,10,0.714285714285714
"Travis Boak",21,10,0.476190476190476
"Zak Butters",20,10,0.5
"Daniel Rioli",23,10,0.434782608695652
"Callum Mills",25,10,0.4
"Lachlan McNeil",15,10,0.666666666666667
