Draft,Name,Team,Forward
,Dyson Heppell,Essendon,
,Nick Hind,Essendon,
,Ben Hobbs,Essendon,*
,Harrison Jones,Essendon,*
,Jake Kelly,Essendon,
,Kyle Langford,Essendon,
,Jayden Laverde,Essendon,
,Alastair Lord,Essendon,
,Nicholas Martin,Essendon,*
,Cian McBride,Essendon,*
,Anthony McDonald-Tipungwuti,Essendon,*
,Andrew McGrath,Essendon,
,Jye Menzie,Essendon,
,Zachary Merrett,Essendon,
,Rhett Montgomerie,Essendon,
,Anthony Munkara,Essendon,*
,Darcy Parish,Essendon,
,Archie Perkins,Essendon,*
,Andrew Phillips,Essendon,
,Mason Redman,Essendon,
,Zach Reid,Essendon,
,Jordan Ridley,Essendon,
,Will Setterfield,Essendon,
,Dylan Shiel,Essendon,
,Will Snelling,Essendon,*
,James Stewart,Essendon,
,Jake Stringer,Essendon,*
,Elijah Tsatas,Essendon,
,Patrick Voss,Essendon,*
,Tex Wanganeen,Essendon,*
,Sam Weideman,Essendon,*
,Peter Wright,Essendon,*
,Brandon Zerk-Thatcher,Essendon,
,James Aish,Fremantle,
,Jye Amiss,Fremantle,*
,Bailey Banfield,Fremantle,*
,Eric Benning,Fremantle,*
,Andrew Brayshaw,Fremantle,
,Will Brodie,Fremantle,*
,Heath Chapman,Fremantle,
,Jordan Clark,Fremantle,
,Travis Colyer,Fremantle,*
,Josh Corbett,Fremantle,*
,Brennan Cox,Fremantle,
,Sean Darcy,Fremantle,
,Hugh Davies,Fremantle,
,Josh Draper,Fremantle,*
,Tom Emmett,Fremantle,
,Neil Erasmus,Fremantle,
,Michael Frederick,Fremantle,*
,Nathan Fyfe,Fremantle,
,Joel Hamling,Fremantle,
,Liam Henry,Fremantle,*
,Ethan Hughes,Fremantle,
,Luke Jackson,Fremantle,*
,Matt Johnson,Fremantle,
,Max Knobel,Fremantle,
,Sebit Kuek,Fremantle,*
,Nathan O'Driscoll,Fremantle,
,Jaeger O'Meara,Fremantle,
,Alex Pearce,Fremantle,
,Liam Reidy,Fremantle,
,Luke Ryan,Fremantle,
,Lachlan Schultz,Fremantle,*
,Caleb Serong,Fremantle,
,Sam Sturt,Fremantle,*
,Sam Switkowski,Fremantle,*
,Matthew Taberner,Fremantle,*
,Josh Treacy,Fremantle,*
,Corey Wagner,Fremantle,*
,Brandon Walker,Fremantle,
,Michael Walters,Fremantle,*
,Conrad Williams,Fremantle,
,Nathan Wilson,Fremantle,
,Karl Worner,Fremantle,
,Hayden Young,Fremantle,
,Leek Aleer,GWS,
,Ryan Angwin,GWS,
,Lachlan Ash,GWS,
,Toby Bedford,GWS,*
,Kieren Briggs,GWS,
,Callum Brown,GWS,*
,Jack Buckley,GWS,
,Aaron Cadman,GWS,
,Finn Callaghan,GWS,
,Stephen Coniglio,GWS,*
,Isaac Cumming,GWS,
,Brent Daniels,GWS,*
,Phil Davis,GWS,
,Wade Derksen,GWS,*
,Josh Fahey,GWS,
,Cameron Fleeton,GWS,
,Matthew Flynn,GWS,
,Jason Gillbee,GWS,
,Tom Green,GWS,
,Toby Greene,GWS,*
,Max Gruzewski,GWS,
,Cooper Hamilton,GWS,*
,Nick Haynes,GWS,
,Harrison Himmelberg,GWS,*
,Jesse Hogan,GWS,*
,Connor Idun,GWS,
,Darcy Jones,GWS,
,Lachlan Keeffe,GWS,
,Joshua Kelly,GWS,
,Adam Kennedy,GWS,
,Daniel Lloyd,GWS,*
,Nick Madden,GWS,
,Toby McMullin,GWS,
,Xavier O'Halloran,GWS,
,James Peatling,GWS,
,Harry Perryman,GWS,
,Braydon Preuss,GWS,
,Jake Riccardi,GWS,*
,Harry Rowston,GWS,
,Conor Stone,GWS,*
,Sam Taylor,GWS,
,Callan Ward,GWS,
,Jacob Wehr,GWS,
,Lachie Whitfield,GWS,
,Tom Atkins,Geelong,
,Jed Bews,Geelong,
,Mark Blicavs,Geelong,
,Jack Bowes,Geelong,
,Tanner Bruhn,Geelong,*
,Jeremy Cameron,Geelong,*
,Jonathon Ceglar,Geelong,
,Jhye Clark,Geelong,
,Ted Clohesy,Geelong,
,Bradley Close,Geelong,*
,Toby Conway,Geelong,
,Patrick Dangerfield,Geelong,
,Sam De Koning,Geelong,*
,Ollie Dempsey,Geelong,*
,Mitchell Duncan,Geelong,*
,Phoenix Foster,Geelong,
,Cameron Guthrie,Geelong,
,Zach Guthrie,Geelong,
,Tom Hawkins,Geelong,*
,Jack Henry,Geelong,
,Oliver Henry,Geelong,*
,Max Holmes,Geelong,*
,Mitchell Knevitt,Geelong,
,Jake Kolodjashnij,Geelong,
,Flynn Kroeger,Geelong,
,Sam Menegola,Geelong,
,Gryan Miers,Geelong,*
,Oisin Mullin,Geelong,
,Oscar Murdoch,Geelong,
,Shannon Neale,Geelong,*
,Mark O'Connor,Geelong,
,Brandan Parfitt,Geelong,
,Esava Ratugolea,Geelong,*
,Osca Riccardi,Geelong,
,Gary Rohan,Geelong,*
,Sam Simpson,Geelong,*
,Isaac Smith,Geelong,*
,Rhys Stanley,Geelong,
,Tyson Stengle,Geelong,*
,Thomas Stewart,Geelong,
,Zach Tuohy,Geelong,
,Cooper Whyte,Geelong,
,James Willis,Geelong,
,Ben Ainsworth,Gold Coast,*
,Jed Anderson,Gold Coast,*
,Noah Anderson,Gold Coast,
,Mac Andrew,Gold Coast,
,Rory Atkins,Gold Coast,
,Charlie Ballard,Gold Coast,
,Thomas Berry,Gold Coast,*
,Connor Blakely,Gold Coast,
,Sandy Brock,Gold Coast,
,Connor Budarick,Gold Coast,
,Chris Burgess,Gold Coast,*
,Levi Casboult,Gold Coast,*
,Mabior Chol,Gold Coast,*
,Samuel Collins,Gold Coast,
,Charlie Constable,Gold Coast,
,Alex Davies,Gold Coast,*
,Sam Day,Gold Coast,*
,Brandon Ellis,Gold Coast,
,Jy Farrar,Gold Coast,
,Oskar Faulkhead,Gold Coast,
,Brayden Fiorini,Gold Coast,
,Sam Flanders,Gold Coast,*
,Caleb Graham,Gold Coast,
,Elijah Hollands,Gold Coast,*
,Nicholas Holman,Gold Coast,*
,Bailey Humphrey,Gold Coast,
,Joel Jeffrey,Gold Coast,*
,Lloyd Johnston,Gold Coast,
,Ben King,Gold Coast,*
,Sean Lemmens,Gold Coast,
,Ben Long,Gold Coast,*
,Jack Lukosius,Gold Coast,
,Darcy Macpherson,Gold Coast,*
,Touk Miller,Gold Coast,
,Ned Moyle,Gold Coast,
,Hewago Oea,Gold Coast,*
,Wil Powell,Gold Coast,
,Malcolm Rosas,Gold Coast,*
,Matt Rowell,Gold Coast,
,Alex Sexton,Gold Coast,*
,Jeremy Sharp,Gold Coast,
,Jake Stein,Gold Coast,
,David Swallow,Gold Coast,
,James Tsitas,Gold Coast,
,Bodhi Uwland,Gold Coast,
,Lachlan Weller,Gold Coast,*
,Jarrod Witts,Gold Coast,
,Karl Amon,Hawthorn,
,Joshua Bennetts,Hawthorn,*
,James Blanck,Hawthorn,
,Lachlan Bramble,Hawthorn,
,Luke Breust,Hawthorn,*
,Tyler Brockman,Hawthorn,*
,Sam Butler,Hawthorn,*
,Will Day,Hawthorn,
,Sam Frost,Hawthorn,
,Denver Grainger-Barras,Hawthorn,
,Fergus Greene,Hawthorn,*
,Blake Hardwick,Hawthorn,
,Henry Hustwaite,Hawthorn,
,Jarman Impey,Hawthorn,
,Emerson Jeka,Hawthorn,*
,Changkuoth Jiath,Hawthorn,
,Jacob Koschitzke,Hawthorn,*
,Mitchell Lewis,Hawthorn,*
,Ned Long,Hawthorn,*
,Max Lynch,Hawthorn,
,Connor MacDonald,Hawthorn,*
,Bailey Macdonald,Hawthorn,
,Cameron Mackenzie,Hawthorn,
,Finn Maginness,Hawthorn,*
,Lloyd Meek,Hawthorn,
,Seamus Mitchell,Hawthorn,*
,Dylan Moore,Hawthorn,*
,Josh Morris,Hawthorn,*
,Harry Morrison,Hawthorn,*
,Conor Nash,Hawthorn,*
,Jai Newcombe,Hawthorn,
,Fionn O'Hara,Hawthorn,
,Jack O'Sullivan,Hawthorn,
,Max Ramsden,Hawthorn,
,Ned Reeves,Hawthorn,
,Jack Scrimshaw,Hawthorn,
,Jai Serong,Hawthorn,*
,James Sicily,Hawthorn,
,Cooper Stephens,Hawthorn,
,Josh Ward,Hawthorn,
,Joshua Weddle,Hawthorn,
,Chad Wingard,Hawthorn,*
,James Worpel,Hawthorn,
,Jed Adams,Melbourne,
,Jake Bowey,Melbourne,
,Angus Brayshaw,Melbourne,
,Ben Brown,Melbourne,*
,Kade Chandler,Melbourne,*
,Luke Dunstan,Melbourne,
,Kyah Farris-White,Melbourne,
,Bayley Fritsch,Melbourne,*
,Max Gawn,Melbourne,
,Brodie Grundy,Melbourne,
,James Harmes,Melbourne,*
,Michael Hibberd,Melbourne,
,Blake Howes,Melbourne,*
,Lachlan Hunter,Melbourne,
,Matthew Jefferson,Melbourne,
,James Jordon,Melbourne,
,Ed Langdon,Melbourne,
,Bailey Laurie,Melbourne,*
,Jake Lever,Melbourne,
,Steven May,Melbourne,
,Tom McDonald,Melbourne,*
,Judd McVee,Melbourne,
,Jake Melksham,Melbourne,*
,Andy Moniz-Wakefield,Melbourne,
,Alex Neal-Bullen,Melbourne,*
,Clayton Oliver,Melbourne,
,Christian Petracca,Melbourne,
,Harrison Petty,Melbourne,
,Kysaiah Pickett,Melbourne,*
,Trent Rivers,Melbourne,
,Christian Salem,Melbourne,
,Josh Schache,Melbourne,*
,Oliver Sestan,Melbourne,*
,Deakyn Smith,Melbourne,
,Joel Smith,Melbourne,
,Charlie Spargo,Melbourne,*
,Tom Sparrow,Melbourne,*
,Adam Tomlinson,Melbourne,
,Daniel Turner,Melbourne,
,Jacob Van Rooyen,Melbourne,*
,Will Verrall,Melbourne,*
,Jack Viney,Melbourne,
,Taj Woewodin,Melbourne,
,Jackson Archer,North Melbourne,
,Miller Bergman,North Melbourne,
,Aiden Bonar,North Melbourne,
,Callum Coleman-Jones,North Melbourne,*
,Charlie Comben,North Melbourne,*
,Aidan Corr,North Melbourne,
,Ben Cunnington,North Melbourne,
,Paul Curtis,North Melbourne,*
,Luke Davies-Uniacke,North Melbourne,
,Kallan Dawson,North Melbourne,
,Blake Drury,North Melbourne,*
,Jacob Edwards,North Melbourne,*
,Eddie Ford,North Melbourne,*
,Hamish Free,North Melbourne,
,Brayden George,North Melbourne,
,Josh Goater,North Melbourne,
,Todd Goldstein,North Melbourne,*
,Hugh Greenwood,North Melbourne,
,Aaron Hall,North Melbourne,
,Cooper Harvey,North Melbourne,
,Daniel Howe,North Melbourne,
,Nick Larkey,North Melbourne,*
,Charlie Lazzaro,North Melbourne,*
,Griffin Logue,North Melbourne,
,Jack Mahony,North Melbourne,*
,Luke McDonald,North Melbourne,
,Ben McKay,North Melbourne,
,Flynn Perez,North Melbourne,
,Will Phillips,North Melbourne,*
,Tom Powell,North Melbourne,*
,Bailey Scott,North Melbourne,*
,Harry Sheezel,North Melbourne,
,Liam Shiels,North Melbourne,*
,Jy Simpkin,North Melbourne,
,Phoenix Spicer,North Melbourne,*
,Jaidyn Stephenson,North Melbourne,*
,Curtis Taylor,North Melbourne,*
,Tarryn Thomas,North Melbourne,*
,Darcy Tucker,North Melbourne,
,Kayne Turner,North Melbourne,*
,George Wardlaw,North Melbourne,
,Tristan Xerri,North Melbourne,*
,Lachie Young,North Melbourne,
,Jack Ziebell,North Melbourne,*
,Cameron Zurhaar,North Melbourne,*
,Aliir Aliir,Port Adelaide,
,Nathan Barkla,Port Adelaide,
,Miles Bergman,Port Adelaide,
,Travis Boak,Port Adelaide,
,Riley Bonner,Port Adelaide,
,Jase Burgoyne,Port Adelaide,
,Ryan Burton,Port Adelaide,
,Zak Butters,Port Adelaide,*
,Darcy Byrne-Jones,Port Adelaide,
,Tom Clurey,Port Adelaide,
,Charlie Dixon,Port Adelaide,*
,Willem Drew,Port Adelaide,
,Trent Dumont,Port Adelaide,
,Xavier Duursma,Port Adelaide,
,Francis Evans,Port Adelaide,*
,Orazio Fantasia,Port Adelaide,*
,Kane Farrell,Port Adelaide,*
,Jeremy Finlayson,Port Adelaide,*
,Mitch Georgiades,Port Adelaide,*
,Sam Hayes,Port Adelaide,
,Jason Horne-Francis,Port Adelaide,*
,Dan Houston,Port Adelaide,
,Hugh Jackson,Port Adelaide,
,Thomas Jonas,Port Adelaide,
,Lachlan Jones,Port Adelaide,
,Ollie Lord,Port Adelaide,*
,Scott Lycett,Port Adelaide,
,Kyle Marshall,Port Adelaide,
,Todd Marshall,Port Adelaide,*
,Tom McCallum,Port Adelaide,
,Jed McEntee,Port Adelaide,*
,Trent McKenzie,Port Adelaide,
,Jackson Mead,Port Adelaide,*
,Jake Pasini,Port Adelaide,
,Sam Powell-Pepper,Port Adelaide,*
,Willie Rioli,Port Adelaide,*
,Connor Rozee,Port Adelaide,*
,Thomas Scully,Port Adelaide,
,Josh Sinn,Port Adelaide,
,Brynn Teakle,Port Adelaide,*
,Dante Visentini,Port Adelaide,*
,Dylan Williams,Port Adelaide,*
,Oliver Wines,Port Adelaide,
,Liam Baker,Richmond,*
,Noah Balta,Richmond,*
,Sam Banks,Richmond,
,Jacob Bauer,Richmond,*
,Shai Bolton,Richmond,*
,Nathan Broad,Richmond,
,Tom Brown,Richmond,
,Seth Campbell,Richmond,*
,Jason Castagna,Richmond,*
,Judson Clarke,Richmond,*
,Mate Colina,Richmond,
,Trent Cotchin,Richmond,
,Noah Cumberland,Richmond,*
,Thomson Dow,Richmond,*
,Josh Gibcus,Richmond,
,Jack Graham,Richmond,*
,Steely Green,Richmond,
,Dylan Grimes,Richmond,
,Jacob Hopper,Richmond,
,Tom Lynch,Richmond,*
,Rhyan Mansell,Richmond,
,Dustin Martin,Richmond,*
,Kamdyn Mcintosh,Richmond,
,Ben Miller,Richmond,
,Toby Nankervis,Richmond,
,Bigoa Nyuon,Richmond,
,Marlion Pickett,Richmond,
,Dion Prestia,Richmond,
,Hugo Ralphsmith,Richmond,*
,Jack Riewoldt,Richmond,*
,Daniel Rioli,Richmond,*
,Maurice Rioli,Richmond,*
,Jack Ross,Richmond,
,Samson Ryan,Richmond,*
,Jayden Short,Richmond,
,Kaleb Smith,Richmond,
,Ivan Soldo,Richmond,*
,Tyler Sonsie,Richmond,
,Tim Taranto,Richmond,*
,Robbie Tarrant,Richmond,
,Nick Vlastuin,Richmond,
,Tylar Young,Richmond,
,Oscar Adams,St Kilda,
,Matthew Allison,St Kilda,
,Josh Battle,St Kilda,*
,Jack Billings,St Kilda,
,Daniel Butler,St Kilda,*
,Ryan Byrnes,St Kilda,*
,Jack Bytel,St Kilda,
,Tom Campbell,St Kilda,*
,Hunter Clark,St Kilda,
,Nicholas Coffield,St Kilda,
,Leo Connolly,St Kilda,
,Zaine Cordy,St Kilda,*
,Brad Crouch,St Kilda,
,Jade Gresham,St Kilda,*
,Jack Hayes,St Kilda,*
,Max Heath,St Kilda,*
,Jack Higgins,St Kilda,*
,Tom Highmore,St Kilda,
,Bradley Hill,St Kilda,*
,Olli Hotton,St Kilda,
,Dougal Howard,St Kilda,
,Zak Jones,St Kilda,
,Isaac Keeler,St Kilda,
,Max King,St Kilda,*
,Rowan Marshall,St Kilda,*
,Daniel McKenzie,St Kilda,
,Angus McLennan,St Kilda,
,Tim Membrey,St Kilda,*
,Mitchito Owens,St Kilda,
,Ben Paton,St Kilda,
,Jack Peris,St Kilda,*
,Mattaes Phillipou,St Kilda,
,Sebastian Ross,St Kilda,
,Cooper Sharman,St Kilda,*
,Jack Sinclair,St Kilda,
,Jack Steele,St Kilda,
,James Van Es,St Kilda,
,Nasiah Wanganeen-Milera,St Kilda,
,Jimmy Webster,St Kilda,
,Callum Wilkie,St Kilda,
,Marcus Windhager,St Kilda,*
,Mason Wood,St Kilda,*
,Joel Amartey,Sydney,*
,Nick Blakey,Sydney,
,Braeden Campbell,Sydney,
,Ryan Clarke,Sydney,
,Harry Cunningham,Sydney,
,Will Edwards,Sydney,
,Oliver Florent,Sydney,
,Robbie Fox,Sydney,
,Aaron Francis,Sydney,
,Lance Franklin,Sydney,*
,Will Gould,Sydney,
,Errol Gulden,Sydney,*
,Hugo Hall-Kahan,Sydney,*
,Will Hayward,Sydney,*
,Isaac Heeney,Sydney,*
,Tom Hickey,Sydney,
,Jacob Konstanty,Sydney,
,Peter Ladhams,Sydney,*
,Jake Lloyd,Sydney,
,Jaiden Magor,Sydney,*
,Lachlan McAndrew,Sydney,
,Patrick McCartin,Sydney,*
,Tom McCartin,Sydney,
,Logan McDonald,Sydney,*
,Justin McInerney,Sydney,
,Hayden McLean,Sydney,*
,Lewis Melican,Sydney,
,Callum Mills,Sydney,
,Caleb Mitchell,Sydney,
,Cameron Owen,Sydney,*
,Tom Papley,Sydney,*
,Luke Parker,Sydney,*
,Dane Rampe,Sydney,
,Lachlan Rankin,Sydney,*
,Sam Reid,Sydney,*
,Matthew Roberts,Sydney,
,James Rowbottom,Sydney,
,Marc Sheather,Sydney,*
,Angus Sheldrick,Sydney,
,Dylan Stephens,Sydney,
,Cooper Vickery,Sydney,
,Chad Warner,Sydney,
,Corey Warner,Sydney,
,Sam Wicks,Sydney,*
,Oscar Allen,West Coast,*
,Jordyn Baker,West Coast,
,Harry Barnett,West Coast,
,Tom Barrass,West Coast,
,Rhett Bazzo,West Coast,*
,Coby Burgiel,West Coast,
,Campbell Chesser,West Coast,
,Greg Clark,West Coast,
,Tom Cole,West Coast,
,Jamie Cripps,West Coast,*
,Jai Culley,West Coast,*
,Jack Darling,West Coast,*
,Tyrell Dewar,West Coast,*
,Liam Duggan,West Coast,
,Harry Edwards,West Coast,
,Luke Edwards,West Coast,
,Luke Foley,West Coast,
,Andrew Gaff,West Coast,
,Reuben Ginbey,West Coast,
,Elijah Hewett,West Coast,
,Brady Hough,West Coast,
,Jayden Hunt,West Coast,
,Shannon Hurn,West Coast,
,Callum Jamieson,West Coast,
,Jamaine Jones,West Coast,*
,Tim Kelly,West Coast,
,Noah Long,West Coast,
,Jeremy McGovern,West Coast,
,Nicholas Naitanui,West Coast,
,Xavier O'Neill,West Coast,*
,Sam Petrevski-Seton,West Coast,*
,Jack Petruccelle,West Coast,*
,Josh Rotham,West Coast,
,Liam Ryan,West Coast,*
,Dominic Sheed,West Coast,
,Luke Shuey,West Coast,
,Zane Trew,West Coast,
,Jake Waterman,West Coast,*
,Connor West,West Coast,*
,Bailey Williams,West Coast,*
,Jack Williams,West Coast,*
,Isiah Winder,West Coast,*
,Alex Witherden,West Coast,
,Elliot Yeo,West Coast,
,Oskar Baker,Western Bulldogs,
,Dominic Bedendo,Western Bulldogs,*
,Marcus Bontempelli,Western Bulldogs,*
,Josh Bruce,Western Bulldogs,*
,Jedd Busslinger,Western Bulldogs,
,Charlie Clarke,Western Bulldogs,
,Luke Cleary,Western Bulldogs,
,Hayden Crozier,Western Bulldogs,
,Bailey Dale,Western Bulldogs,
,Caleb Daniel,Western Bulldogs,
,Sam Darcy,Western Bulldogs,*
,Taylor Duryea,Western Bulldogs,
,Timothy English,Western Bulldogs,*
,Harvey Gallagher,Western Bulldogs,
,Riley Garcia,Western Bulldogs,*
,Ryan Gardner,Western Bulldogs,
,Mitchell Hannan,Western Bulldogs,*
,Jason Johannisen,Western Bulldogs,*
,Arthur Jones,Western Bulldogs,*
,Liam Jones,Western Bulldogs,
,Alex Keath,Western Bulldogs,
,Buku Khamis,Western Bulldogs,
,Thomas Liberatore,Western Bulldogs,*
,Rory Lobb,Western Bulldogs,*
,Jackson Macrae,Western Bulldogs,
,Robbie McComb,Western Bulldogs,*
